display_name,url,class,style,id,title,target,url_type
,https://www.autochlor.com,,,,,_blank,Other
LOGOUT,javascript: TSModalUpdating_Show(); document.location.href=`Default.aspx?Module=b1e95ff9-bf6a-42b7-8bab-1b639a96f123`;,SiteMap,,,,,JavaScript
PASSWORD,javascript:TSModalUpdating_Show(); document.location.href=`Default.aspx?Module=54b0ce9a-ae8d-4c9d-8fd0-6c434dfb31fd`;,SiteMap,,,,,JavaScript
,FileOperator.aspx?FileKey=6bad6944-0f6c-4d82-ba4e-72c699b62327,,,,,WPS_HELPWIN,File
,#_MenuModule_SkipLink,,height:100%;width:100%;display:block;,,,,Anchor
AGREEMENT,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
DATA MAINTENANCE,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
FILE MANAGEMENT,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
HR,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
OPERATIONS,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
PURCHASE,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
REPORTS,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
SCM,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
SEARCH,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
TICKET,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
TOOLS,#,_MenuModule_1 _MenuModule_3,cursor:text;,,,,Anchor
TRAINING VIDEO,Default.aspx?Module=4f389441-a849-433d-ac37-91b2aed1ec8a,_MenuModule_1 _MenuModule_3,height:100%;width:100%;display:block;,,,,Module
AGREEMENT,Default.aspx?Module=96094bdd-79c2-4b88-be7c-33acb3515348,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
ELECTRONIC AGREEMENT MACHINE,Default.aspx?Module=bbf7921d-a949-44fb-959a-800ae1a7d87e,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
MULTI-UNIT AGREEMENT,Default.aspx?Module=122a66c0-273d-41c8-b334-bfa5455f0325,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BILL TO,Default.aspx?Module=fa9dd1c1-3fbc-4c72-a18e-3b769419e707,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
BRANCH,Default.aspx?Module=a3bd61f1-4ac6-41f8-b4b3-2e7f9beb635d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
COMMENT MASTER,Default.aspx?Module=981384a9-99dc-4289-a9d1-4d2169e61d8d,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
CUSTOMER GROUP,Default.aspx?Module=5a1697e2-7ddf-482a-b27d-27847192c399,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
DISCOUNT,Default.aspx?Module=3a7bac7f-e757-49ca-a45d-183b3c77c207,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
MACHINE,Default.aspx?Module=961110f8-d3cf-4b57-b763-7d88bdd6a0a7,_MenuModule_1 _MenuModule_6,height:100%;width:100%;display:block;,,,,Module
