filepath,dependency,version,is_standard_lib,is_local
c:\mygit\compuse\computer_use_demo\code_context_manager.py,os,,True,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,json,,False,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,re,,False,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,ast,,True,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,subprocess,,True,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,dataclasses,,True,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,datetime,,True,False
c:\mygit\compuse\computer_use_demo\code_context_manager.py,typing,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,asyncio,,False,False
c:\mygit\compuse\computer_use_demo\computer.py,base64,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,os,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,shlex,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,shutil,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,enum,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,pathlib,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,typing,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,uuid,,True,False
c:\mygit\compuse\computer_use_demo\computer.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\computer.py,tools,,False,False
c:\mygit\compuse\computer_use_demo\computer.py,tools,,False,False
c:\mygit\compuse\computer_use_demo\cputest.py,asyncio,,False,False
c:\mygit\compuse\computer_use_demo\cputest.py,os,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,platform,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,datetime,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,enum,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,pathlib,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,typing,,True,False
c:\mygit\compuse\computer_use_demo\cputest.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\cputest.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\cputest.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\cputest.py,tools,,False,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,os,,True,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,re,,False,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,pathlib,,True,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,collections,,False,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,typing,,True,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,logging,,False,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,rich,13.9.4,False,False
c:\mygit\compuse\computer_use_demo\edit_tool.py,base,,False,False
c:\mygit\compuse\computer_use_demo\loop.py,icecream,2.1.3,False,False
c:\mygit\compuse\computer_use_demo\loop.py,datetime,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,typing,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,pathlib,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\loop.py,anthropic,0.39.0,False,False
c:\mygit\compuse\computer_use_demo\loop.py,hashlib,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,base64,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,os,,True,False
c:\mygit\compuse\computer_use_demo\loop.py,asyncio,,False,False
